kernel,waitcnt_line,original_matches_expected,mutant_matches_original,mutant_matches_expected,notes
accum_sub_64,272,yes,yes,yes,
accum_sub_64,275,yes,yes,yes,
accum_sub_64,277,yes,yes,yes,
accum_sub_64,280,yes,yes,yes,
accum_sub_64,282,yes,yes,yes,
accum_sub_64,285,yes,yes,yes,
accum_sub_64,287,yes,yes,yes,
accum_sub_64,290,yes,yes,yes,
accum_sub_64,292,yes,yes,yes,
accum_sub_64,295,yes,yes,yes,
accum_sub_64,297,yes,yes,yes,
accum_sub_64,300,yes,yes,yes,
accum_sub_64,302,yes,yes,yes,
accum_sub_64,305,yes,yes,yes,
accum_sub_64,307,yes,yes,yes,
accum_sub_64,310,yes,yes,yes,
accum_sub_64,312,yes,yes,yes,
accum_sub_64,315,yes,yes,yes,
accum_sub_64,317,yes,yes,yes,
accum_sub_64,320,yes,yes,yes,
accum_sub_64,322,yes,yes,yes,
accum_sub_64,325,yes,yes,yes,
accum_sub_64,327,yes,yes,yes,
accum_sub_64,330,yes,yes,yes,
accum_sub_64,332,yes,yes,yes,
accum_sub_64,335,yes,yes,yes,
accum_sub_64,337,yes,yes,yes,
accum_sub_8,17,yes,skip,skip,"launcher rc=2 HIP err 110: an illegal memory access was encountered
"
accum_sub_8,44,yes,skip,skip,"launcher rc=2 HIP err 110: an illegal memory access was encountered
"
accum_sub_8,53,yes,yes,yes,
accum_sub_8,55,yes,yes,yes,
accum_sub_8,58,yes,yes,yes,
accum_sub_8,60,yes,yes,yes,
accum_sub_96,25,yes,skip,skip,"launcher rc=2 HIP err 110: an illegal memory access was encountered
"
accum_sub_96,43,yes,skip,skip,"launcher rc=2 HIP err 110: an illegal memory access was encountered
"
accum_sub_96,151,yes,yes,yes,
accum_sub_96,193,yes,no,no,v5 lane00 orig=7f1dba00 mut=7f1dbf80 (32 lanes differ)
accum_sub_96,224,yes,yes,yes,
accum_sub_96,255,yes,yes,yes,
accum_sub_96,287,yes,yes,yes,
accum_sub_96,292,yes,yes,yes,
accum_sub_96,312,yes,yes,yes,
accum_sub_96,380,yes,yes,yes,
accum_sub_96,407,yes,yes,yes,
accum_sub_96,410,yes,yes,yes,
accum_sub_96,412,yes,yes,yes,
accum_sub_96,415,yes,yes,yes,
accum_sub_96,417,yes,yes,yes,
accum_sub_96,420,yes,yes,yes,
accum_sub_96,422,yes,yes,yes,
accum_sub_96,425,yes,yes,yes,
accum_sub_96,427,yes,yes,yes,
accum_sub_96,430,yes,yes,yes,
accum_sub_96,432,yes,yes,yes,
accum_sub_96,435,yes,yes,yes,
accum_sub_96,437,yes,yes,yes,
accum_sub_96,440,yes,yes,yes,
accum_sub_96,442,yes,yes,yes,
accum_sub_96,445,yes,yes,yes,
accum_sub_96,447,yes,yes,yes,
accum_sub_96,450,yes,yes,yes,
accum_sub_96,452,yes,yes,yes,
accum_sub_96,455,yes,yes,yes,
accum_sub_96,457,yes,yes,yes,
accum_sub_96,460,yes,yes,yes,
accum_sub_96,462,yes,yes,yes,
accum_sub_96,465,yes,yes,yes,
accum_sub_96,467,yes,yes,yes,
accum_sub_96,470,yes,yes,yes,
accum_sub_96,472,yes,yes,yes,
accum_sub_96,475,yes,yes,yes,
accum_sub_96,477,yes,yes,yes,
accum_sub_96,480,yes,yes,yes,
accum_sub_96,482,yes,yes,yes,
accum_xor_16,17,yes,skip,skip,"launcher rc=2 HIP err 110: an illegal memory access was encountered
"
accum_xor_16,47,yes,skip,skip,launcher rc=124 launcher timeout after 30s: 
accum_xor_16,80,yes,yes,yes,
accum_xor_16,82,yes,yes,yes,
accum_xor_16,85,yes,no,no,v5 lane00 orig=00000200 mut=93c06260 (32 lanes differ)
accum_xor_16,87,yes,yes,yes,
accum_xor_16,90,yes,no,no,v5 lane00 orig=00000200 mut=deadfee0 (32 lanes differ)
accum_xor_16,92,yes,no,no,v5 lane00 orig=00000200 mut=df6dc380 (32 lanes differ)
accum_xor_16,95,yes,yes,yes,
accum_xor_16,97,yes,yes,yes,
accum_xor_32,20,yes,skip,skip,"launcher rc=2 HIP err 110: an illegal memory access was encountered
"
accum_xor_32,86,yes,yes,yes,
accum_xor_32,132,yes,yes,yes,
accum_xor_32,134,yes,yes,yes,
accum_xor_32,137,yes,yes,yes,
accum_xor_32,139,yes,yes,yes,
accum_xor_32,142,yes,yes,yes,
accum_xor_32,144,yes,yes,yes,
accum_xor_32,147,yes,yes,yes,
accum_xor_32,149,yes,yes,yes,
accum_xor_32,152,yes,yes,yes,
accum_xor_32,154,yes,yes,yes,
accum_xor_32,157,yes,yes,yes,
accum_xor_32,159,yes,yes,yes,
accum_xor_32,162,yes,yes,yes,
accum_xor_32,164,yes,yes,yes,
accum_xor_32,167,yes,yes,yes,
accum_xor_32,169,yes,no,no,v5 lane00 orig=00000400 mut=dead7de1 (32 lanes differ)
accum_xor_4,15,yes,skip,skip,"launcher rc=2 HIP err 110: an illegal memory access was encountered
"
accum_xor_4,30,yes,skip,skip,"launcher rc=2 HIP err 110: an illegal memory access was encountered
"
accum_xor_4,39,yes,no,no,v5 lane00 orig=00000080 mut=dead00c0 (32 lanes differ)
accum_xor_4,41,yes,yes,yes,
accum_xor_64,21,yes,skip,skip,launcher rc=124 launcher timeout after 30s: 
