mutant_id,kernel,family,deleted_line,deleted_inst,waitcnt_kind,vmcnt,vlq_count,plq_count,ds_pending,vscnt,classification,bm_outcome
accum_add_96__L475,accum_add_96,accum_n_distinct,475,s_waitcnt vmcnt(6),vmcnt,8,8,0,0,0,load_bearing,match
accum_add_96__L477,accum_add_96,accum_n_distinct,477,s_waitcnt vmcnt(4),vmcnt,6,6,0,0,0,load_bearing,match
accum_add_96__L480,accum_add_96,accum_n_distinct,480,s_waitcnt vmcnt(2),vmcnt,4,4,0,0,0,load_bearing,match
accum_add_96__L482,accum_add_96,accum_n_distinct,482,s_waitcnt vmcnt(0),vmcnt,2,2,0,0,0,load_bearing,match
accum_and_16__L80,accum_and_16,accum_n_distinct,80,s_waitcnt vmcnt(14),vmcnt,16,16,0,0,0,load_bearing,match
accum_and_16__L82,accum_and_16,accum_n_distinct,82,s_waitcnt vmcnt(13),vmcnt,14,14,0,0,0,load_bearing,match
accum_and_16__L85,accum_and_16,accum_n_distinct,85,s_waitcnt vmcnt(12),vmcnt,13,13,0,0,0,load_bearing,match
accum_and_16__L87,accum_and_16,accum_n_distinct,87,s_waitcnt vmcnt(11),vmcnt,12,12,0,0,0,load_bearing,match
accum_and_16__L90,accum_and_16,accum_n_distinct,90,s_waitcnt vmcnt(10),vmcnt,11,11,0,0,0,load_bearing,match
accum_and_16__L92,accum_and_16,accum_n_distinct,92,s_waitcnt vmcnt(9),vmcnt,10,10,0,0,0,load_bearing,divergent
accum_and_16__L95,accum_and_16,accum_n_distinct,95,s_waitcnt vmcnt(8),vmcnt,9,9,0,0,0,load_bearing,divergent
accum_and_16__L97,accum_and_16,accum_n_distinct,97,s_waitcnt vmcnt(7),vmcnt,8,8,0,0,0,load_bearing,divergent
accum_and_16__L100,accum_and_16,accum_n_distinct,100,s_waitcnt vmcnt(6),vmcnt,7,7,0,0,0,load_bearing,match
accum_and_16__L102,accum_and_16,accum_n_distinct,102,s_waitcnt vmcnt(5),vmcnt,6,6,0,0,0,load_bearing,match
accum_and_16__L105,accum_and_16,accum_n_distinct,105,s_waitcnt vmcnt(4),vmcnt,5,5,0,0,0,load_bearing,match
accum_and_16__L107,accum_and_16,accum_n_distinct,107,s_waitcnt vmcnt(3),vmcnt,4,4,0,0,0,load_bearing,match
accum_and_16__L110,accum_and_16,accum_n_distinct,110,s_waitcnt vmcnt(2),vmcnt,3,3,0,0,0,load_bearing,match
accum_and_16__L112,accum_and_16,accum_n_distinct,112,s_waitcnt vmcnt(1),vmcnt,2,2,0,0,0,load_bearing,match
accum_and_16__L115,accum_and_16,accum_n_distinct,115,s_waitcnt vmcnt(0),vmcnt,1,1,0,0,0,load_bearing,match
accum_and_32__L89,accum_and_32,accum_n_distinct,89,s_waitcnt lgkmcnt(0),lgkmcnt,18,18,4,0,0,load_bearing,match
accum_and_32__L132,accum_and_32,accum_n_distinct,132,s_waitcnt vmcnt(30),vmcnt,32,32,0,0,0,load_bearing,match
accum_and_32__L134,accum_and_32,accum_n_distinct,134,s_waitcnt vmcnt(29),vmcnt,30,30,0,0,0,load_bearing,match
accum_and_32__L137,accum_and_32,accum_n_distinct,137,s_waitcnt vmcnt(28),vmcnt,29,29,0,0,0,load_bearing,match
accum_and_32__L139,accum_and_32,accum_n_distinct,139,s_waitcnt vmcnt(27),vmcnt,28,28,0,0,0,load_bearing,match
accum_and_32__L142,accum_and_32,accum_n_distinct,142,s_waitcnt vmcnt(26),vmcnt,27,27,0,0,0,load_bearing,match
accum_and_32__L144,accum_and_32,accum_n_distinct,144,s_waitcnt vmcnt(25),vmcnt,26,26,0,0,0,load_bearing,match
accum_and_32__L147,accum_and_32,accum_n_distinct,147,s_waitcnt vmcnt(24),vmcnt,25,25,0,0,0,load_bearing,match
accum_and_32__L149,accum_and_32,accum_n_distinct,149,s_waitcnt vmcnt(23),vmcnt,24,24,0,0,0,load_bearing,match
accum_and_32__L152,accum_and_32,accum_n_distinct,152,s_waitcnt vmcnt(22),vmcnt,23,23,0,0,0,load_bearing,match
accum_and_32__L154,accum_and_32,accum_n_distinct,154,s_waitcnt vmcnt(21),vmcnt,22,22,0,0,0,load_bearing,match
accum_and_32__L157,accum_and_32,accum_n_distinct,157,s_waitcnt vmcnt(20),vmcnt,21,21,0,0,0,load_bearing,match
accum_and_32__L159,accum_and_32,accum_n_distinct,159,s_waitcnt vmcnt(19),vmcnt,20,20,0,0,0,load_bearing,match
accum_and_32__L162,accum_and_32,accum_n_distinct,162,s_waitcnt vmcnt(18),vmcnt,19,19,0,0,0,load_bearing,match
accum_and_32__L164,accum_and_32,accum_n_distinct,164,s_waitcnt vmcnt(17),vmcnt,18,18,0,0,0,load_bearing,match
accum_and_32__L167,accum_and_32,accum_n_distinct,167,s_waitcnt vmcnt(16),vmcnt,17,17,0,0,0,load_bearing,match
accum_and_32__L169,accum_and_32,accum_n_distinct,169,s_waitcnt vmcnt(15),vmcnt,16,16,0,0,0,load_bearing,match
accum_and_32__L172,accum_and_32,accum_n_distinct,172,s_waitcnt vmcnt(14),vmcnt,15,15,0,0,0,load_bearing,match
accum_and_32__L174,accum_and_32,accum_n_distinct,174,s_waitcnt vmcnt(13),vmcnt,14,14,0,0,0,load_bearing,match
accum_and_32__L177,accum_and_32,accum_n_distinct,177,s_waitcnt vmcnt(12),vmcnt,13,13,0,0,0,load_bearing,match
accum_and_32__L179,accum_and_32,accum_n_distinct,179,s_waitcnt vmcnt(11),vmcnt,12,12,0,0,0,load_bearing,match
accum_and_32__L182,accum_and_32,accum_n_distinct,182,s_waitcnt vmcnt(10),vmcnt,11,11,0,0,0,load_bearing,match
accum_and_32__L184,accum_and_32,accum_n_distinct,184,s_waitcnt vmcnt(9),vmcnt,10,10,0,0,0,load_bearing,match
accum_and_32__L187,accum_and_32,accum_n_distinct,187,s_waitcnt vmcnt(8),vmcnt,9,9,0,0,0,load_bearing,match
accum_and_32__L189,accum_and_32,accum_n_distinct,189,s_waitcnt vmcnt(7),vmcnt,8,8,0,0,0,load_bearing,match
accum_and_32__L192,accum_and_32,accum_n_distinct,192,s_waitcnt vmcnt(6),vmcnt,7,7,0,0,0,load_bearing,match
accum_and_32__L194,accum_and_32,accum_n_distinct,194,s_waitcnt vmcnt(5),vmcnt,6,6,0,0,0,load_bearing,match
accum_and_32__L197,accum_and_32,accum_n_distinct,197,s_waitcnt vmcnt(4),vmcnt,5,5,0,0,0,load_bearing,match
accum_and_32__L199,accum_and_32,accum_n_distinct,199,s_waitcnt vmcnt(3),vmcnt,4,4,0,0,0,load_bearing,match
accum_and_32__L202,accum_and_32,accum_n_distinct,202,s_waitcnt vmcnt(2),vmcnt,3,3,0,0,0,load_bearing,match
accum_and_32__L204,accum_and_32,accum_n_distinct,204,s_waitcnt vmcnt(1),vmcnt,2,2,0,0,0,load_bearing,match
accum_and_32__L207,accum_and_32,accum_n_distinct,207,s_waitcnt vmcnt(0),vmcnt,1,1,0,0,0,load_bearing,match
accum_and_4__L32,accum_and_4,accum_n_distinct,32,s_waitcnt lgkmcnt(0),lgkmcnt,2,2,1,0,0,load_bearing,match
accum_and_4__L39,accum_and_4,accum_n_distinct,39,s_waitcnt vmcnt(2),vmcnt,4,4,0,0,0,load_bearing,divergent
accum_and_4__L41,accum_and_4,accum_n_distinct,41,s_waitcnt vmcnt(1),vmcnt,2,2,0,0,0,load_bearing,match
accum_and_4__L44,accum_and_4,accum_n_distinct,44,s_waitcnt vmcnt(0),vmcnt,1,1,0,0,0,load_bearing,match
accum_and_64__L138,accum_and_64,accum_n_distinct,138,s_waitcnt lgkmcnt(0),lgkmcnt,29,29,3,0,0,load_bearing,match
accum_and_64__L217,accum_and_64,accum_n_distinct,217,s_waitcnt lgkmcnt(0),lgkmcnt,46,46,2,0,0,load_bearing,match
accum_and_64__L243,accum_and_64,accum_n_distinct,243,s_waitcnt lgkmcnt(0),lgkmcnt,54,54,1,0,0,load_bearing,match
accum_and_64__L272,accum_and_64,accum_n_distinct,272,s_waitcnt vmcnt(62),vmcnt,64,64,0,0,0,load_bearing,match
